tx_price,beds,baths,sqft,year_built,lot_size,basement,median_age,married,college_grad,property_tax,insurance,median_school,num_schools,tx_year,lifestyle_avg,two_and_two,exterior_walls_Brick,exterior_walls_Brick veneer,exterior_walls_Combination,exterior_walls_Metal,exterior_walls_Other,exterior_walls_Siding (Alum/Vinyl),exterior_walls_Wood,exterior_walls_missing,roof_Asphalt,roof_Composition Shingle,roof_Other,roof_Shake Shingle,roof_missing,property_type_Apartment / Condo / Townhouse,property_type_Single-Family
230000.0,2.0,1.0,793.0,1950.0,0.0,1.0,35.0,29.0,73.0,196.0,59.0,4.0,3.0,2004.0,-0.4898980953320262,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
328000.0,2.0,1.0,800.0,1950.0,0.0,0.0,33.0,35.0,87.0,219.0,76.0,6.0,3.0,2005.0,1.292104790341208,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
407800.0,2.0,1.0,803.0,2000.0,33541.0,0.0,36.0,25.0,91.0,309.0,107.0,9.0,3.0,2005.0,2.4736500681787037,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
470630.0,2.0,1.0,814.0,2005.0,9686.0,0.0,27.0,21.0,94.0,313.0,108.0,9.0,3.0,2006.0,1.6391862706727545,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
270000.0,2.0,1.0,816.0,1949.0,3846.0,1.0,38.0,63.0,46.0,340.0,103.0,5.0,3.0,2015.0,-0.04718301893207037,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
359500.0,2.0,1.0,835.0,1954.0,0.0,0.0,31.0,58.0,93.0,282.0,93.0,4.0,3.0,2009.0,0.40478296228429594,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
355000.0,2.0,1.0,836.0,1994.0,0.0,0.0,36.0,36.0,90.0,265.0,92.0,9.0,3.0,2012.0,0.5634047426620646,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
283000.0,2.0,1.0,845.0,1942.0,0.0,0.0,44.0,20.0,74.0,182.0,63.0,7.0,3.0,2006.0,1.6468545011038573,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
378000.0,2.0,1.0,864.0,1942.0,1296.0,1.0,35.0,47.0,32.0,319.0,106.0,4.0,3.0,2015.0,0.8120167478983892,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
255000.0,2.0,1.0,870.0,1984.0,1306.0,0.0,32.0,64.0,57.0,242.0,62.0,7.0,3.0,2007.0,-0.7462400012776506,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
306000.0,2.0,1.0,875.0,1950.0,0.0,0.0,36.0,49.0,77.0,228.0,79.0,6.0,3.0,2012.0,0.6901772055035315,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
369900.0,2.0,1.0,891.0,2004.0,0.0,1.0,32.0,32.0,88.0,294.0,89.0,7.0,3.0,2006.0,1.4387583507946833,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
326000.0,2.0,1.0,893.0,2003.0,0.0,1.0,32.0,32.0,88.0,303.0,92.0,7.0,3.0,2011.0,1.244243041436148,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
350000.0,2.0,1.0,900.0,1941.0,0.0,0.0,36.0,37.0,80.0,240.0,79.0,4.0,3.0,2005.0,0.8090663785490407,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
350000.0,2.0,1.0,900.0,1941.0,0.0,0.0,36.0,37.0,80.0,240.0,79.0,4.0,3.0,2005.0,0.8090663785490407,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
396875.0,2.0,1.0,912.0,1960.0,48787.0,0.0,28.0,15.0,86.0,250.0,87.0,8.0,3.0,2005.0,2.467418570355512,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
374900.0,2.0,1.0,912.0,1983.0,0.0,0.0,36.0,49.0,77.0,266.0,92.0,6.0,3.0,2005.0,0.6901772055035315,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
